id,message,urgency_level,urgency_score,service_type,timestamp
1667,"I smell a very strong gas odor throughout my apartment for the past 10 minutes, I opened the windows but it still smells just as strong, I'm afraid it will explode, what should I do?",urgent,3,Fire Department,2025-10-06T02:56:15.603Z
1668,"Hello, I reconnected with an old friend on social media today, it was nice to catch up after all these years",none,0,N/A,2025-10-10T08:23:09.656Z
1669,"I smell a very strong gas odor throughout my apartment for the past 10 minutes, I opened the windows but it still smells just as strong, I'm afraid it will explode, what should I do?",urgent,3,EMS,2025-09-12T17:39:16.487Z
1670,"My dog just bit someone walking past the house, the person is bleeding at the leg level, it's not very deep but there are teeth marks",moderate,2,Police,2025-10-10T05:25:30.963Z
1671,"My teenage son swallowed all the medications from the medicine cabinet, I just found him unconscious in his room with the empty boxes next to him, he's barely breathing",critical,4,Fire Department,2025-09-24T05:49:44.056Z
1672,"I'm locked in my apartment and my ex-partner is forcing the door with a crowbar, he's screaming that he's going to kill me, I hear the door giving way, I'm alone with my baby",critical,4,Police,2025-09-24T22:28:25.313Z
1673,"I lost my car keys in the municipal park this afternoon, it's a keychain with several keys and a building badge, I wanted to report it in case someone finds them",low,1,Health hotline,2025-09-14T20:45:16.866Z
1674,"My dog just bit someone walking past the house, the person is bleeding at the leg level, it's not very deep but there are teeth marks",moderate,2,On-call doctor,2025-09-27T21:57:33.306Z
1675,"I just had a motorcycle accident on Highway I-95, I'm conscious but my right leg hurts a lot, I think it's broken, there's blood and my helmet is cracked, I'm on the side of the road",urgent,3,Fire Department,2025-09-21T04:00:31.206Z
1676,"My elderly neighbor rang my doorbell completely lost, she doesn't know where she lives or what her name is, she looks disoriented, I think she suffers from dementia, I don't know what to do",moderate,2,On-call doctor,2025-09-19T05:02:51.477Z
1677,"I'm calling to say that my tomato plants are growing well this year, I'm hoping for a good harvest",none,0,General info,2025-10-02T00:08:46.567Z
1678,"My father was electrocuted while repairing the electrical panel, he fell to the ground and isn't moving, he has burns on his hands and is barely breathing, I don't dare touch him",critical,4,Fire Department,2025-09-27T03:17:48.737Z
1679,"My 10-year-old son just cut himself deeply with a kitchen knife, the cut is at least 5 cm on his forearm, it's bleeding a lot, I put a towel on it but the blood is soaking through",urgent,3,EMS,2025-09-15T16:05:57.075Z
1680,"My colleague just had a medical emergency at work, he suddenly fainted during the meeting, he fell backwards and hit his head against the wall, he's not waking up",urgent,3,Police,2025-09-26T10:56:25.545Z
1681,"I burned myself taking a dish out of the oven, blisters are forming on my hand, it's red and hurts a lot, I put it under cold water but I don't know if that's enough",moderate,2,Police,2025-09-30T13:30:20.926Z
1682,"There's been a very violent argument at my neighbors' for an hour, I hear screaming, objects breaking and the woman crying, I don't know if I should intervene",moderate,2,Fire Department,2025-09-26T23:04:20.537Z
1683,"There's an aggressive stray cat that came into my yard, it's growling and hissing, I'm afraid it might be rabid and my children want to go out and play, I don't know how to make it leave",moderate,2,On-call doctor,2025-09-14T07:33:22.100Z
1684,"My elderly neighbor rang my doorbell completely lost, she doesn't know where she lives or what her name is, she looks disoriented, I think she suffers from dementia, I don't know what to do",moderate,2,On-call doctor,2025-09-27T11:38:43.105Z
1685,"My elderly neighbor rang my doorbell completely lost, she doesn't know where she lives or what her name is, she looks disoriented, I think she suffers from dementia, I don't know what to do",moderate,2,Police,2025-10-02T07:25:57.262Z
1686,"There's a burglary in progress at my neighbor's house, I hear noise and voices, I see shadows with flashlights through the window, I think there are several of them",urgent,3,Police,2025-10-09T16:12:05.166Z
1687,"Hello, I wanted to share that I finally finished reading that book I started last month, it was quite interesting",none,0,N/A,2025-10-08T08:22:06.991Z
1688,"Hi there, I noticed the flowers in my garden are starting to bloom, spring is definitely here and it looks lovely",none,0,Community line,2025-09-27T12:33:46.168Z
1689,"I wanted to share that I'm learning to play guitar and I finally managed to play a full song without stopping, it feels great",none,0,Community line,2025-10-03T15:57:43.507Z
1690,"I lost my car keys in the municipal park this afternoon, it's a keychain with several keys and a building badge, I wanted to report it in case someone finds them",low,1,Local police,2025-09-24T11:37:19.069Z
1691,"There's a fire starting in my kitchen, I tried to extinguish it with water but it's getting worse, there's a lot of black smoke coming from the oven, I evacuated my children but I don't know if I should stay",urgent,3,EMS,2025-09-12T23:22:45.933Z
1692,"I lost my car keys in the municipal park this afternoon, it's a keychain with several keys and a building badge, I wanted to report it in case someone finds them",low,1,Medical advice,2025-09-15T03:53:00.151Z
1693,"I'm reaching out to tell you about the nice conversation I had with the mailman today, he's such a pleasant person",none,0,General info,2025-10-07T12:49:12.606Z
1694,"My wife just gave birth in the car, we didn't have time to get to the hospital, the baby came out but isn't crying, he's all limp and purple, I don't know what to do!",critical,4,Fire Department,2025-10-08T09:53:18.459Z
1695,"I just hit my head hard on an open door, a big bump is forming and I feel a bit nauseous, I didn't lose consciousness but I feel dizzy",moderate,2,Police,2025-09-21T08:53:44.352Z
1696,"My teenage son swallowed all the medications from the medicine cabinet, I just found him unconscious in his room with the empty boxes next to him, he's barely breathing",critical,4,EMS,2025-09-22T21:07:04.123Z
1697,"I burned myself taking a dish out of the oven, blisters are forming on my hand, it's red and hurts a lot, I put it under cold water but I don't know if that's enough",moderate,2,On-call doctor,2025-09-19T22:01:17.915Z
1698,"Hi there, I noticed the flowers in my garden are starting to bloom, spring is definitely here and it looks lovely",none,0,General info,2025-10-01T10:29:04.722Z
1699,"Hello yes, I'm at 12 Washington Avenue, there's a fire, the flames are already on the second floor and I'm trapped on the third with my children, smoke is everywhere, we can't get out through the stairs!",critical,4,Police,2025-09-15T03:15:38.428Z
1700,"I have a small superficial burn from cooking, it's just red without blisters, I put cold water on it, is there anything else I should do?",low,1,Health hotline,2025-09-22T08:21:39.758Z
1701,"I haven't been able to sleep for several nights, I wake up often and have trouble falling back asleep, I don't want to take sleeping pills but I'm exhausted",low,1,Medical advice,2025-09-18T03:44:22.906Z
1702,"Hello, the weather has been really nice lately, I've been able to open the windows and let fresh air in",none,0,General info,2025-09-19T16:27:42.542Z
1703,"My 15-year-old daughter is having a severe asthma attack, she used her inhaler three times but it's not getting better, she can barely speak because she's suffocating so much, her lips are starting to turn blue",urgent,3,EMS,2025-09-15T03:19:53.013Z
1704,"My dog just bit someone walking past the house, the person is bleeding at the leg level, it's not very deep but there are teeth marks",moderate,2,Police,2025-10-09T00:01:52.858Z
1705,"I got a small cut while gardening this morning, it's not deep but I'm not sure if I'm up to date with my tetanus shots, what do you recommend?",low,1,Health hotline,2025-10-08T02:12:12.393Z
1706,"Hi there, I noticed the flowers in my garden are starting to bloom, spring is definitely here and it looks lovely",none,0,General info,2025-09-20T02:39:09.486Z
1707,"I have a small superficial burn from cooking, it's just red without blisters, I put cold water on it, is there anything else I should do?",low,1,Health hotline,2025-09-17T18:09:27.913Z
1708,"My neighbors have been making a lot of noise since midnight with loud music, I have to get up early tomorrow for work and I can't sleep, can you intervene?",low,1,Health hotline,2025-09-19T19:34:49.551Z
1709,"I was just assaulted and robbed on the street near my home, they hit me several times in the face, my nose is bleeding and I have a broken tooth, I'm bleeding quite a bit from my mouth",urgent,3,Fire Department,2025-09-17T16:01:49.761Z
1710,"I just had a motorcycle accident on ring road, I'm conscious but my right leg hurts a lot, I think it's broken, there's blood and my helmet is cracked, I'm on the side of the road",urgent,3,EMS,2025-09-24T05:14:59.489Z
1711,"Just wanted to mention that I tried a new recipe for dinner tonight and it turned out pretty good, the family enjoyed it",none,0,Community line,2025-10-01T20:05:08.078Z
1712,"My neighbors have been making a lot of noise since midnight with loud music, I have to get up early tomorrow for work and I can't sleep, can you intervene?",low,1,Health hotline,2025-09-27T00:10:55.515Z
1713,"I just had a motorcycle accident on County Road 120, I'm conscious but my right leg hurts a lot, I think it's broken, there's blood and my helmet is cracked, I'm on the side of the road",urgent,3,Police,2025-09-28T02:03:51.981Z
1714,"There's a fire starting in my kitchen, I tried to extinguish it with water but it's getting worse, there's a lot of black smoke coming from the oven, I evacuated my children but I don't know if I should stay",urgent,3,EMS,2025-09-20T00:51:02.499Z
1715,"My 5-year-old daughter has had a fever that won't go down for 48 hours, she's at 39.5°C even after paracetamol, she complains of headaches and sleeps a lot",moderate,2,Fire Department,2025-09-17T21:47:04.836Z
